"","COLLISION_TYPE","FATAL_OR_MAJ_INJ","DAY_OF_WEEK","CRASH_MONTH","CELL_PHONE","IMPAIRED_DRIVER","FATIGUE_ASLEEP","SPEEDING_RELATED","WEATHER","SPEED_LIMIT","DEC_LAT","DEC_LONG"
"125","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Sleet (hail)",55,40.57149887,-79.79019928
"126","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.38710022,-79.97059631
"127","Hit pedestrian",FALSE,"Sunday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.41040039,-79.99040222
"128","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.44279861,-79.77290344
"129","Angle",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.44279861,-79.77290344
"130","Non collision",FALSE,"Sunday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.46509933,-80.01000214
"131","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",35,40.31850052,-79.78549957
"132","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.46649933,-80.01979828
"133","Rear-end",FALSE,"Thursday",1,FALSE,TRUE,FALSE,FALSE,"No adverse conditions",25,40.44020081,-79.96559906
"134","Hit fixed object",FALSE,"Thursday",1,FALSE,TRUE,FALSE,FALSE,"No adverse conditions",40,40.26010132,-79.86789703
"135","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",30,40.2806015,-79.83560181
"136","Hit fixed object",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"Snow",30,40.47380066,-80.0719986
"137","Non collision",FALSE,"Sunday",1,FALSE,FALSE,FALSE,FALSE,"Rain",65,40.5945015,-79.89640045
"138","Hit fixed object",FALSE,"Sunday",1,FALSE,FALSE,FALSE,TRUE,"Rain",30,40.45119858,-80.18569946
"139","Sideswipe (Opposite dir.)",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.39929962,-80.00920105
"140","Hit fixed object",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"Snow",25,40.48360062,-79.94419861
"141","Head-on",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.46929932,-79.93789673
"142","Hit fixed object",FALSE,"Monday",1,FALSE,FALSE,FALSE,TRUE,"No adverse conditions",35,40.45249939,-80.20649719
"143","Hit pedestrian",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.46269989,-79.96720123
"144","Angle",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.4571991,-79.99780273
"145","Angle",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",40,40.35359955,-79.97850037
"146","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",45,40.5943985,-80.04779816
"147","Head-on",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",35,40.49860001,-80.1339035
"148","Sideswipe (same dir.)",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.45880127,-79.97280121
"149","Sideswipe (same dir.)",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.47570038,-80.03079987
"150","Hit fixed object",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",35,40.47000122,-79.82299805
"151","Hit fixed object",FALSE,"Sunday",1,TRUE,FALSE,FALSE,FALSE,"No adverse conditions",35,40.49520111,-79.75489807
"152","Rear-end",FALSE,"Friday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",40,40.48590088,-80.07990265
"153","Rear-end",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.49150085,-79.86589813
"154","Angle",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",15,40.42340088,-79.86170197
"155","Angle",FALSE,"Monday",1,FALSE,TRUE,FALSE,FALSE,"No adverse conditions",35,40.45809937,-79.90840149
"156","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",45,40.5943985,-80.04779816
"157","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",40,40.35599899,-80.04100037
"158","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.35950089,-80.03140259
"159","Angle",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.39220047,-80.01319885
"160","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.54759979,-79.97530365
"161","Angle",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",35,40.44049835,-80.2385025
"162","Rear-end",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.42789841,-79.91609955
"163","Angle",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",35,40.43709946,-79.99829865
"164","Hit fixed object",FALSE,"Thursday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",35,40.3871994,-79.89479828
"165","Rear-end",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"Snow",45,40.48389816,-79.90599823
"166","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",25,40.37229919,-79.99469757
"167","Head-on",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,TRUE,"Snow",25,40.42520142,-79.9280014
"168","Hit fixed object",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"Snow",25,40.44820023,-80.02610016
"169","Hit fixed object",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"Snow",35,40.44430161,-79.99079895
"170","Non collision",FALSE,"Sunday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.41830063,-80.00009918
"171","Hit fixed object",FALSE,"Sunday",1,FALSE,FALSE,FALSE,FALSE,"Rain",35,40.48249817,-80.13459778
"172","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.34740067,-80.03009796
"173","Angle",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"Snow",25,40.43970108,-79.95240021
"174","Other or Unkown",FALSE,"Friday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.39229965,-79.87210083
"175","Hit fixed object",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"Snow",25,40.40250015,-80.04029846
"176","Hit fixed object",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"Snow",25,40.40250015,-80.04029846
"177","Hit fixed object",FALSE,"Monday",1,FALSE,FALSE,FALSE,TRUE,"Snow",35,40.47190094,-79.85910034
"178","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.41690063,-79.79450226
"179","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",35,40.39929962,-80.02490234
"180","Hit fixed object",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,TRUE,"Snow",40,40.32500076,-79.79170227
"181","Hit fixed object",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,TRUE,"Snow",35,40.37070084,-79.8286972
"182","Rear-end",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"Snow",35,40.37390137,-79.84500122
"183","Hit fixed object",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,TRUE,"Snow",45,40.48600006,-79.85549927
"184","Hit fixed object",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,TRUE,"Snow",25,40.36270142,-80.08719635
"185","Angle",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"Snow",55,40.48040009,-80.0447998
"186","Angle",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"Snow",35,40.63349915,-80.0039978
"187","Rear-end",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,TRUE,"Snow",35,40.48130035,-79.8042984
"188","Hit fixed object",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"Snow",45,40.54510117,-79.83799744
"189","Hit fixed object",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.45240021,-79.87770081
